,year,X,time.year.depth,date,time.category,depth.target..m.,group,common.name,genus.species,genus.species.updated,number,CPUE.m2.of.net,shrimp.cpue,avg.oni.previous.12.months,el.nino.la.nina
331,2012,196,early morning_2012_70,11-12May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,26,1330,0.019548872,-0.725,La Nina
372,2013,53,afternoon_2013_70,17-18May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,280,1298.5,0.215633423,-0.041666667,no signal
373,2013,360,evening_2013_70,17-18May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,4,1298.5,0.003080477,-0.041666667,no signal
380,2013,211,early morning_2013_70,17-18May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,417,NA,NA,-0.041666667,no signal
392,2013,659,night_2013_70,17-18May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,44,NA,NA,-0.041666667,no signal
399,2013,502,morning_2013_70,17-18May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,331,NA,NA,-0.041666667,no signal
586,2017,714,night_2017_70,12-14May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,19,1305.5,0.014553811,-0.283333333,no signal
616,2017,703,night_2017_25,12-14May,night,25,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,1,1323,0.000755858,-0.283333333,no signal
619,2017,98,afternoon_2017_70,12-14May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,304,1309,0.23223835,-0.283333333,no signal
620,2017,255,early morning_2017_70,12-14May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,254,1298.5,0.19561032,-0.283333333,no signal
623,2017,706,night_2017_50,12-14May,night,50,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,11,1309,0.008403361,-0.283333333,no signal
630,2017,544,morning_2017_70,12-14May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,238,1295,0.183783784,-0.283333333,no signal
648,2018,722,night_2018_70,11-13May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,71,1302,0.05453149,-0.441666667,no signal
669,2018,262,early morning_2018_70,11-13May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,109,1295,0.084169884,-0.441666667,no signal
680,2018,551,morning_2018_50,11-13May,morning,50,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,77,1305.5,0.058981233,-0.441666667,no signal
146,2006,455,morning_2006_50,12-13May,morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,1,1295,0.000772201,-0.358333333,no signal
149,2006,603,night_2006_50,12-13May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,84,1295,0.064864865,-0.358333333,no signal
150,2006,161,early morning_2006_50,12-13May,early morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,4,1295,0.003088803,-0.358333333,no signal
167,2006,157,early morning_2006_10,12-13May,early morning,10,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,1,1295,0.000772201,-0.358333333,no signal
174,2007,608,night_2007_50,11-12May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,8,1295,0.006177606,0.325,no signal
204,2008,615,night_2008_50,16-17May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,17,1295,0.013127413,-1.1,La Nina
216,2009,622,night_2009_50,15-16May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,28,1295,0.021621622,-0.533333333,La Nina
228,2009,323,evening_2009_50,15-16May,evening,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,1,1295,0.000772201,-0.533333333,La Nina
231,2009,621,night_2009_10,15-16May,night,10,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,17,1295,0.013127413,-0.533333333,La Nina
238,2009,463,morning_2009_50,15-16May,morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,1,1295,0.000772201,-0.533333333,La Nina
279,2010,630,night_2010_50,14-15May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,16,1309,0.012223071,0.833333333,El Nino
282,2011,338,evening_2011_70,13-14May,evening,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,10,1295,0.007722008,-1.15,La Nina
283,2011,337,evening_2011_50,13-14May,evening,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,50,1302,0.038402458,-1.15,La Nina
298,2011,183,early morning_2011_25,13-14May,early morning,25,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,28,1295,0.021621622,-1.15,La Nina
300,2011,480,morning_2011_50,13-14May,morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,3,1302,0.002304147,-1.15,La Nina
398,2013,653,night_2013_50,17-18May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,1,NA,NA,-0.041666667,no signal
413,2014,59,afternoon_2014_70,16-17May,afternoon,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,319,1347.5,0.236734694,-0.308333333,no signal
415,2014,373,evening_2014_70,16-17May,evening,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,23,1295,0.017760618,-0.308333333,no signal
424,2014,669,night_2014_70,16-17May,night,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,26,1295,0.02007722,-0.308333333,no signal
448,2014,509,morning_2014_70,16-17May,morning,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,103,1298.5,0.079322295,-0.308333333,no signal
452,2014,220,early morning_2014_70,16-17May,early morning,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,93,1309,0.0710466,-0.308333333,no signal
454,2014,666,night_2014_50,16-17May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,32,1291.5,0.024777391,-0.308333333,no signal
467,2015,519,morning_2015_70,15-16May,morning,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,229,1295,0.176833977,0.391666667,no signal
473,2015,517,morning_2015_50,15-16May,morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,1,1302,0.000768049,0.391666667,no signal
479,2015,233,early morning_2015_70,15-16May,early morning,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,224,1298.5,0.172506739,0.391666667,no signal
497,2015,73,afternoon_2015_70,15-16May,afternoon,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,514,1316,0.390577508,0.391666667,no signal
505,2015,682,night_2015_50,15-16May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,7,1295,0.005405405,0.391666667,no signal
517,2015,382,evening_2015_70,15-16May,evening,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,146,1330,0.109774436,0.391666667,no signal
519,2015,685,night_2015_70,15-16May,night,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,89,1298.5,0.068540624,0.391666667,no signal
527,2016,239,early morning_2016_50,13-15May,early morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,117,1288,0.090838509,1.866666667,El Nino
528,2016,243,early morning_2016_70,13-15May,early morning,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,724,1295,0.559073359,1.866666667,El Nino
531,2016,696,night_2016_70,13-15May,night,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,42,1298.5,0.032345013,1.866666667,El Nino
538,2016,528,morning_2016_50,13-15May,morning,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,126,1302,0.096774194,1.866666667,El Nino
539,2016,78,afternoon_2016_50,13-15May,afternoon,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,4,1309,0.003055768,1.866666667,El Nino
553,2016,79,afternoon_2016_50,13-15May,afternoon,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,300,1309,0.229182582,1.866666667,El Nino
556,2016,393,evening_2016_70,13-15May,evening,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,10,1295,0.007722008,1.866666667,El Nino
560,2016,530,morning_2016_70,13-15May,morning,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,259,1473.5,0.175771971,1.866666667,El Nino
639,2018,414,evening_2018_70,11-13May,evening,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,49,1302,0.037634409,-0.441666667,no signal
650,2018,409,evening_2018_70,11-13May,evening,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,3,1302,0.002304147,-0.441666667,no signal
655,2018,108,afternoon_2018_70,11-13May,afternoon,70,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,99,1295,0.076447876,-0.441666667,no signal
668,2018,718,night_2018_50,11-13May,night,50,shrimp,pink shrimp,Pandalus borealis,Pandalus eous,3,1295,0.002316602,-0.441666667,no signal
14,1999,121,early morning_1999_25,14-15May,early morning,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,NA,NA,NA,NA
96,2003,584,night_2003_50,16-17May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,0.775,El Nino
97,2003,151,early morning_2003_70,16-17May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,3,1295,0.002316602,0.775,El Nino
111,2003,588,night_2003_70,16-17May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,0.775,El Nino
160,2006,16,afternoon_2006_70,12-13May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,-0.358333333,no signal
165,2006,304,evening_2006_70,12-13May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,-0.358333333,no signal
172,2007,613,night_2007_70,11-12May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,0.325,no signal
180,2007,317,evening_2007_70,11-12May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,10,1295,0.007722008,0.325,no signal
197,2007,314,evening_2007_70,11-12May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,0.325,no signal
219,2009,325,evening_2009_70,15-16May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,-0.533333333,La Nina
237,2009,322,evening_2009_50,15-16May,evening,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,-0.533333333,La Nina
253,2010,330,evening_2010_50,14-15May,evening,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1295,0.004633205,0.833333333,El Nino
257,2010,180,early morning_2010_70,14-15May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,7,1295,0.005405405,0.833333333,El Nino
260,2010,469,morning_2010_50,14-15May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,0.833333333,El Nino
271,2010,629,night_2010_50,14-15May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1309,0.000763942,0.833333333,El Nino
272,2010,472,morning_2010_70,14-15May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1400,0.000714286,0.833333333,El Nino
286,2011,342,evening_2011_70,13-14May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,-1.15,La Nina
295,2011,186,early morning_2011_70,13-14May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,-1.15,La Nina
296,2011,335,evening_2011_50,13-14May,evening,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1302,0.000768049,-1.15,La Nina
306,2012,198,early morning_2012_70,11-12May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,5,1330,0.003759398,-0.725,La Nina
307,2012,194,early morning_2012_50,11-12May,early morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1302,0.000768049,-0.725,La Nina
324,2012,636,night_2012_25,11-12May,night,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,-0.725,La Nina
325,2012,488,morning_2012_50,11-12May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,-0.725,La Nina
326,2012,490,morning_2012_70,11-12May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,9,1295,0.006949807,-0.725,La Nina
336,2012,44,afternoon_2012_70,11-12May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1305.5,0.00459594,-0.725,La Nina
340,2012,644,night_2012_70,11-12May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1302,0.004608295,-0.725,La Nina
342,2012,347,evening_2012_70,11-12May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1298.5,0.001540239,-0.725,La Nina
347,2012,639,night_2012_50,11-12May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,8,1309,0.006111536,-0.725,La Nina
353,2012,643,night_2012_70,11-12May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1302,0.001536098,-0.725,La Nina
364,2013,498,morning_2013_50,17-18May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,8,NA,NA,-0.041666667,no signal
367,2013,649,night_2013_25,17-18May,night,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,5,NA,NA,-0.041666667,no signal
377,2013,647,night_2013_10,17-18May,night,10,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,NA,NA,-0.041666667,no signal
379,2013,206,early morning_2013_50,17-18May,early morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,NA,NA,-0.041666667,no signal
387,2013,654,night_2013_70,17-18May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,17,NA,NA,-0.041666667,no signal
391,2013,208,early morning_2013_70,17-18May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,NA,NA,-0.041666667,no signal
393,2013,499,morning_2013_70,17-18May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,NA,NA,-0.041666667,no signal
402,2013,207,early morning_2013_70,17-18May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,41,NA,NA,-0.041666667,no signal
405,2013,358,evening_2013_70,17-18May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,24,1298.5,0.018482865,-0.041666667,no signal
410,2013,355,evening_2013_50,17-18May,evening,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,3,1295,0.002316602,-0.041666667,no signal
416,2014,664,night_2014_50,16-17May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,5,1291.5,0.003871467,-0.308333333,no signal
425,2014,372,evening_2014_70,16-17May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,8,1295,0.006177606,-0.308333333,no signal
437,2014,366,evening_2014_25,16-17May,evening,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,9,1295,0.006949807,-0.308333333,no signal
442,2014,62,afternoon_2014_70,16-17May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,10,1347.5,0.00742115,-0.308333333,no signal
443,2014,505,morning_2014_50,16-17May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1295,0.000772201,-0.308333333,no signal
445,2014,217,early morning_2014_50,16-17May,early morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1302,0.004608295,-0.308333333,no signal
446,2014,367,evening_2014_50,16-17May,evening,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1883,0.001062135,-0.308333333,no signal
453,2014,512,morning_2014_70,16-17May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,34,1298.5,0.026184059,-0.308333333,no signal
459,2014,672,night_2014_70,16-17May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,33,1295,0.025482625,-0.308333333,no signal
463,2014,221,early morning_2014_70,16-17May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,17,1309,0.012987013,-0.308333333,no signal
464,2014,511,morning_2014_70,16-17May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,4,1298.5,0.003080477,-0.308333333,no signal
465,2014,661,night_2014_25,16-17May,night,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1298.5,0.000770119,-0.308333333,no signal
484,2015,683,night_2015_70,15-16May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,16,1298.5,0.01232191,0.391666667,no signal
487,2015,71,afternoon_2015_70,15-16May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1316,0.000759878,0.391666667,no signal
489,2015,386,evening_2015_70,15-16May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,5,1330,0.003759398,0.391666667,no signal
490,2015,377,evening_2015_50,15-16May,evening,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,10,1382.5,0.007233273,0.391666667,no signal
495,2015,680,night_2015_50,15-16May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,7,1295,0.005405405,0.391666667,no signal
498,2015,227,early morning_2015_50,15-16May,early morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,10,1295,0.007722008,0.391666667,no signal
503,2015,514,morning_2015_50,15-16May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,40,1302,0.030721966,0.391666667,no signal
507,2015,67,afternoon_2015_50,15-16May,afternoon,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,16,1305.5,0.012255841,0.391666667,no signal
511,2015,521,morning_2015_70,15-16May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,13,1295,0.01003861,0.391666667,no signal
536,2016,75,afternoon_2016_25,13-15May,afternoon,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1347.5,0.000742115,1.866666667,El Nino
569,2016,698,night_2016_70,13-15May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,34,1298.5,0.026184059,1.866666667,El Nino
582,2017,711,night_2017_70,12-14May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1305.5,0.00076599,-0.283333333,no signal
584,2017,97,afternoon_2017_70,12-14May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,1,1309,0.000763942,-0.283333333,no signal
613,2017,90,afternoon_2017_50,12-14May,afternoon,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1302,0.004608295,-0.283333333,no signal
622,2017,543,morning_2017_70,12-14May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,5,1295,0.003861004,-0.283333333,no signal
625,2017,251,early morning_2017_70,12-14May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,15,1298.5,0.011551791,-0.283333333,no signal
626,2017,93,afternoon_2017_70,12-14May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1309,0.004583652,-0.283333333,no signal
640,2018,265,early morning_2018_70,11-13May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,6,1295,0.004633205,-0.441666667,no signal
667,2018,547,morning_2018_50,11-13May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,17,1305.5,0.013021831,-0.441666667,no signal
686,2019,560,morning_2019_70,10-11May,morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,5,1295,0.003861004,0.491666667,El Nino
688,2019,556,morning_2019_50,10-11May,morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,63,1295,0.048648649,0.491666667,El Nino
690,2019,733,night_2019_70,10-11May,night,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,22,1295,0.016988417,0.491666667,El Nino
702,2019,109,afternoon_2019_25,10-11May,afternoon,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,4,1295,0.003088803,0.491666667,El Nino
708,2019,424,evening_2019_70,10-11May,evening,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,26,1295,0.02007722,0.491666667,El Nino
719,2019,119,afternoon_2019_70,10-11May,afternoon,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,2,1295,0.001544402,0.491666667,El Nino
721,2019,269,early morning_2019_50,10-11May,early morning,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,12,1295,0.009266409,0.491666667,El Nino
723,2019,271,early morning_2019_70,10-11May,early morning,70,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,14,1295,0.010810811,0.491666667,El Nino
725,2019,112,afternoon_2019_50,10-11May,afternoon,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,3,1295,0.002316602,0.491666667,El Nino
728,2019,730,night_2019_50,10-11May,night,50,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,28,1295,0.021621622,0.491666667,El Nino
737,2019,418,evening_2019_25,10-11May,evening,25,shrimp,dock (coonstripe) shrimp,Pandalus danae,Pandalus danae,10,1295,0.007722008,0.491666667,El Nino
698,2019,726,night_2019_25,10-11May,night,25,shrimp,spot shrimp (prawn),Pandalus danae,Pandalus danae,2,1295,0.001544402,0.491666667,El Nino
730,2019,558,morning_2019_70,10-11May,morning,70,shrimp,spot shrimp (prawn),Pandalus danae,Pandalus danae,312,1295,0.240926641,0.491666667,El Nino
710,2019,734,night_2019_70,10-11May,night,70,shrimp,sidestripe shrimp,Pandalus dispar,Pandalus dispar,7,1295,0.005405405,0.491666667,El Nino
689,2019,736,night_2019_70,10-11May,night,70,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,127,1295,0.098069498,0.491666667,El Nino
691,2019,117,afternoon_2019_70,10-11May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,59,1295,0.045559846,0.491666667,El Nino
704,2019,559,morning_2019_70,10-11May,morning,70,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,609,1295,0.47027027,0.491666667,El Nino
713,2019,272,early morning_2019_70,10-11May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,44,1295,0.033976834,0.491666667,El Nino
717,2019,115,afternoon_2019_50,10-11May,afternoon,50,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,1,1295,0.000772201,0.491666667,El Nino
722,2019,425,evening_2019_70,10-11May,evening,70,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,61,1295,0.047104247,0.491666667,El Nino
734,2019,110,afternoon_2019_25,10-11May,afternoon,25,shrimp,Alaskan pink shrimp,Pandalus eous,Pandalus eous,1,1295,0.000772201,0.491666667,El Nino
27,2000,434,morning_2000_70,12-13May,morning,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,32,1295,0.024710425,-1.241666667,La Nina
32,2000,280,evening_2000_70,12-13May,evening,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,71,1295,0.054826255,-1.241666667,La Nina
33,2000,131,early morning_2000_70,12-13May,early morning,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,29,1295,0.022393822,-1.241666667,La Nina
34,2000,279,evening_2000_50,12-13May,evening,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,35,1361.5,0.025706941,-1.241666667,La Nina
39,2000,433,morning_2000_50,12-13May,morning,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,51,1295,0.039382239,-1.241666667,La Nina
41,2000,575,night_2000_70,12-13May,night,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,60,1295,0.046332046,-1.241666667,La Nina
44,2000,130,early morning_2000_50,12-13May,early morning,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,12,1295,0.009266409,-1.241666667,La Nina
48,2000,571,night_2000_50,12-13May,night,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,39,1295,0.03011583,-1.241666667,La Nina
140,2005,14,afternoon_2005_70,13-14May,afternoon,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,2,1295,0.001544402,0.533333333,El Nino
195,2007,610,night_2007_70,11-12May,night,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,35,1295,0.027027027,0.325,no signal
250,2010,331,evening_2010_50,14-15May,evening,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,1,1295,0.000772201,0.833333333,El Nino
312,2012,43,afternoon_2012_70,11-12May,afternoon,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,11,1305.5,0.00842589,-0.725,La Nina
345,2012,637,night_2012_50,11-12May,night,50,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,12,1309,0.009167303,-0.725,La Nina
352,2012,642,night_2012_70,11-12May,night,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,41,1302,0.031490015,-0.725,La Nina
633,2017,91,afternoon_2017_70,12-14May,afternoon,70,shrimp,humpy (coonstripe) shrimp,Pandalus goniurus,Pandalus goniurus,1,1309,0.000763942,-0.283333333,no signal
532,2016,526,morning_2016_50,13-15May,morning,50,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,28,1302,0.021505376,1.866666667,El Nino
547,2016,84,afternoon_2016_50,13-15May,afternoon,50,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,17,1309,0.012987013,1.866666667,El Nino
567,2016,532,morning_2016_70,13-15May,morning,70,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,30,1473.5,0.020359688,1.866666667,El Nino
585,2017,536,morning_2017_50,12-14May,morning,50,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,7,1291.5,0.005420054,-0.283333333,no signal
594,2017,539,morning_2017_70,12-14May,morning,70,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,9,1295,0.006949807,-0.283333333,no signal
621,2017,248,early morning_2017_50,12-14May,early morning,50,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,15,1298.5,0.011551791,-0.283333333,no signal
635,2018,723,night_2018_70,11-13May,night,70,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,5,1302,0.003840246,-0.441666667,no signal
653,2018,102,afternoon_2018_50,11-13May,afternoon,50,shrimp,humpback (coonstripe) shrimp,Pandalus hypsinotus,Pandalus hypsinotus,65,1302,0.049923195,-0.441666667,no signal
